mission,timestamp_met,timestamp_utc,maneuver_name,category,system_boundary,value_raw,unit_raw,value_normalized,unit_normalized,confidence,source_doc,source_section,notes
Apollo 13,105.30777777777777,1970-04-16 04:31:50,First transearth midcourse correction,propulsion,spacecraft_engine,7.8,ft/sec,2.37744,m/s,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 6.6,"DPS burn at 10% throttle, ~14 sec duration; raised entry flight-path angle to -6.52 deg"
Apollo 13,,,Fourth (final) midcourse correction,propulsion,spacecraft_engine,,,,,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / Table 4-III,"LM RCS burn ~5 hr before entry, small flight-path-angle adjustment"
Apollo 13,,,Service module separation,timeline,unknown,,,,,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 3.0,SM jettisoned using LM RCS
Apollo 13,,,LM/CM undocking,timeline,unknown,,,,,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 3.0,Undocking via docking-tunnel pressure for separation velocity
Apollo 13,142.9113888888889,1970-04-17 18:08:03,Entry interface & splashdown,timeline,unknown,,,,,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 3.0,"Landing ~1 mile from target, 21 deg 38.4 min S / 165 deg 21.7 min W, Pacific Ocean"
Apollo 13,,,SPS propellant (only used for 1st midcourse),propulsion,spacecraft_engine,loaded 15685 fuel/40769 ox; consumed 92.3 fuel/239.3 ox,lb,,lb,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 7.1.1,"SPS fired only once (first midcourse, 3.49 sec) - by far the smallest SPS usage of any Apollo mission"
Apollo 13,,,SM RCS propellant total consumption,propulsion,rcs_auxiliary,286,lb,129.72741782,kg,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 5.7.1 / 7.1.2,vs. 178 lb preflight planned; higher due to venting-induced thruster activity after the incident
Apollo 13,,,LM RCS propellant total consumption,propulsion,rcs_auxiliary,467,lb,211.82763679,kg,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 6.5,Total reaction control propellant consumed by LM RCS system after activation at ~58 hr
Apollo 13,,,LM Descent Propulsion System (DPS) propellant,propulsion,rcs_auxiliary,loaded 11350.9 fuel/18434.5 ox = 29785.4 total; consumed ~5071.4 fuel/8342.9 ox = ~13414.3 total; remaining at undocking 6233.5 fuel/10091.6 ox = 16325.1 total,lb,,lb,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 6.6 / 7.2.1,"DPS used for all 3 major post-abort burns (return-to-free-return, TEI/PC+2, first transearth MCC); more than half the initial propellant load remained at undocking - confirms LM had ample propulsive margin for the rescue"
Apollo 13,,,LM electrical energy transferred to CM (for entry batteries),timeline,unknown,~129,ampere-hours,,ampere-hours,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 7.2.5,Energy transferred from LM batteries to recharge CM entry batteries during the return
Apollo 13,,,LM oxygen usage (abort phase),timeline,unknown,20.3,lb over 82 hr,9.207925111000002,kg,CONFIRMED-PRIMARY,Apollo 13 Mission Report (MSC-02680),Sec 6.7,Average usage rate 0.25 lb/hr; 33.5 lb remaining at undocking
